10000 50000
1 3725 82
1 3394 2
1 2861 65
1 6278 3
1 5035 44
1 1956 68
1 9260 53
1 9572 14
1 9153 20
1 999 90
1 116 74
1 4003 71
1 1088 29
1 6293 58
1 496 6
1 1100 21
1 7772 7
2 7764 96
2 6861 53
2 5355 65
2 2627 64
2 8118 14
2 2693 54
2 1449 13
3 3207 59
3 3468 41
3 1073 87
3 8059 92
4 3623 17
4 560 99
4 7158 51
4 4527 66
4 2671 44
5 9775 13
5 2148 66
5 6785 94
5 3449 87
6 9688 93
6 8415 43
6 1339 47
6 4083 91
7 3513 42
8 4070 92
8 9222 17
8 2412 70
9 554 10
9 6396 70
9 6112 8
9 7536 24
10 2483 17
10 5918 64
10 6256 70
11 8449 76
11 5664 88
11 3545 65
11 2649 88
11 6943 12
12 5845 7
12 5425 2
12 94 66
12 6905 57
12 3204 6
12 234 26
12 7674 44
13 8722 13
13 2988 19
13 973 82
13 4359 33
14 4831 32
14 2007 55
14 3421 12
14 698 95
14 248 76
15 4808 92
15 1520 76
15 3258 78
15 229 77
16 734 64
16 334 37
16 3266 99
17 5249 2
17 6763 31
17 3284 60
17 2098 97
18 6129 69
18 3096 52
19 1341 94
19 5795 17
20 3773 26
20 5459 39
21 9003 73
21 4644 17
21 4899 18
22 4575 10
22 6502 85
22 3292 2
22 1210 76
22 1148 12
22 8838 18
22 9679 11
22 480 16
23 879 8
23 2031 4
23 6521 49
23 8413 40
23 3970 15
23 1574 56
23 459 17
23 6166 64
23 7847 17
24 96 85
24 9677 77
24 5835 56
25 1362 93
25 2057 34
25 2992 43
25 7885 67
25 6655 79
25 5451 70
26 4258 67
26 6968 97
26 3298 4
27 3922 83
27 7562 58
27 6892 73
27 6800 1
28 9692 7
28 9304 41
28 6930 81
28 2267 21
28 6255 76
28 9589 28
29 746 95
29 2903 54
29 5525 94
29 8305 4
29 7530 34
29 2777 89
29 7190 4
30 4482 67
30 798 1
31 2880 31
31 1852 92
31 3830 42
32 486 11
32 3634 51
32 3722 56
32 6170 9
32 5696 35
32 4830 43
32 5227 53
32 595 97
33 9014 93
33 9911 76
33 6701 27
33 6388 89
33 2416 64
34 2516 41
34 7137 33
34 5313 43
34 1893 96
35 6844 45
35 9939 71
35 4486 42
35 1446 39
35 6032 16
35 8136 27
36 5339 54
36 8320 78
36 5465 61
37 6971 25
37 8392 75
37 9020 91
37 7511 85
38 4480 60
38 2354 37
38 4286 35
38 4979 99
38 5797 84
38 9006 27
39 3148 10
39 5976 52
39 7349 28
40 9913 27
40 7989 51
40 8355 33
40 4652 46
40 5635 44
40 6469 88
40 1946 57
41 2927 95
41 305 72
41 4022 0
41 2577 0
41 2475 31
41 8022 79
42 4724 58
42 9437 70
42 8212 92
43 7177 58
43 6630 59
43 3844 92
43 5009 98
43 3334 56
43 9652 32
43 1266 93
43 177 50
44 4235 51
44 5815 39
44 4863 76
44 8104 15
44 3782 16
45 9292 65
45 2389 82
45 6957 24
46 9813 32
46 4704 66
46 3533 23
46 4507 34
46 8963 86
47 7112 41
47 5552 87
47 8149 5
47 4409 60
47 8342 46
47 3537 38
47 3934 44
47 8081 3
48 2309 40
48 73 9
48 6398 54
48 6064 38
48 566 88
48 9332 55
48 6710 7
49 3657 51
49 3861 98
49 7388 90
49 1834 40
49 2476 76
49 8642 70
50 7396 95
50 6941 0
50 2161 65
50 5053 50
51 572 32
51 5347 76
51 2584 48
51 8907 79
52 2903 31
52 4921 99
52 6028 50
53 3138 63
53 4778 56
53 7797 28
54 4919 98
54 5789 0
54 6557 31
55 3691 88
56 5628 64
56 7690 24
56 322 94
56 4114 12
56 5835 59
56 8051 23
57 6586 61
57 5571 90
57 1931 1
57 3648 11
57 3728 64
58 4054 10
58 5207 76
58 4069 35
59 249 98
59 9457 69
59 588 49
59 1481 33
60 9201 8
60 5418 82
60 8615 93
60 7824 85
60 2694 26
60 4291 53
60 5360 34
60 4148 95
61 8545 89
61 1039 21
61 5886 84
61 3089 1
61 7364 18
61 8841 19
61 2996 38
62 6000 12
62 9502 80
62 5424 85
62 3242 50
62 1844 97
63 5124 60
63 1056 74
63 9400 44
63 3375 4
63 1689 84
63 9154 84
63 3810 25
64 1763 71
64 296 72
65 3461 16
65 7560 86
65 9093 97
65 9220 69
65 5367 76
65 4224 62
65 5774 55
65 2587 99
65 1985 2
66 2294 53
66 3082 43
66 7285 58
66 5163 10
67 2230 69
67 4861 40
67 8538 85
67 6625 35
67 3814 18
67 6135 75
68 3318 94
68 8114 16
69 1372 80
69 9633 29
69 8593 40
69 485 32
70 5189 18
70 1666 65
70 3154 13
70 9536 89
70 856 42
70 9051 6
70 6276 90
70 7763 52
71 9851 48
71 4056 3
71 5003 21
72 3325 15
72 4197 85
72 3411 32
72 6424 9
72 2518 72
72 3812 1
73 48 9
73 1946 73
73 9564 0
73 9114 28
73 1422 49
73 4350 82
73 8847 54
73 5528 5
73 2142 63
74 7892 50
74 7964 94
74 6990 30
74 3873 40
75 4264 7
75 2401 43
75 2639 94
76 7543 73
76 167 2
76 5248 71
76 6848 22
76 1261 35
76 862 71
77 3876 6
77 522 81
77 9859 57
77 2752 99
77 4228 58
78 9254 89
78 5100 10
78 8549 5
78 5977 50
78 3204 25
78 3157 91
78 6976 35
78 8812 31
79 986 12
79 9394 74
79 7466 50
79 2382 20
79 2778 62
80 6810 53
80 1848 74
80 9442 25
81 6243 56
81 4886 0
81 3000 23
81 509 93
82 3647 67
82 1319 22
82 4297 85
82 3722 46
83 7935 65
83 7671 14
83 2068 3
84 2111 33
84 347 69
84 4401 63
84 2316 74
84 7890 61
84 1600 80
84 8802 24
84 3286 88
85 8968 71
85 3365 65
85 8865 95
85 7414 55
86 1074 46
86 2252 45
86 9703 96
86 6280 20
86 6510 60
87 6803 43
87 3303 28
87 5990 13
87 6348 12
87 4455 14
88 2403 65
88 5424 29
88 281 60
88 7426 92
88 1638 44
88 1500 66
88 2066 72
88 3952 79
88 9753 85
89 2594 85
89 6845 46
90 6152 23
90 7538 10
90 182 52
90 2676 91
90 4713 34
91 3561 13
92 8032 58
92 9008 38
93 7356 52
93 9321 21
93 8867 54
93 1837 92
94 8534 65
94 3819 43
94 12 66
94 4306 83
95 1943 44
95 6844 60
95 2882 11
95 4675 26
96 6110 64
96 24 85
96 9888 51
96 5233 83
96 7936 26
96 8096 65
96 1067 92
97 9521 2
97 8314 45
97 3729 68
98 3647 17
98 8783 91
98 437 83
99 8705 31
100 3800 19
100 8817 10
100 1060 55
100 6799 88
100 6870 12
101 4505 25
101 2461 10
101 9676 97
101 2148 56
102 4279 58
102 7999 52
102 1896 13
102 3626 63
102 8622 31
103 468 49
103 900 30
103 4562 12
103 5928 94
103 7171 97
103 9559 92
103 9622 15
103 2785 10
104 5642 2
104 7537 47
104 1981 16
104 6832 34
104 5615 53
