20 100
1 6 49
1 4 65
1 11 91
1 12 15
1 17 58
2 4 16
2 5 88
2 14 69
2 20 32
2 18 64
2 3 95
3 7 2
3 20 80
3 2 95
3 19 51
4 1 65
4 2 16
4 17 27
4 15 18
4 13 83
4 6 79
5 2 88
5 10 18
5 7 48
6 1 49
6 9 73
6 17 48
6 16 89
6 4 79
7 9 46
7 8 45
7 3 2
7 15 7
7 12 66
7 5 48
8 7 45
8 15 29
8 19 1
8 12 5
8 17 89
9 6 73
9 7 46
9 20 73
9 16 28
9 14 83
9 19 88
10 20 53
10 18 41
10 15 84
10 5 18
10 19 36
11 1 91
12 1 15
12 8 5
12 7 66
12 19 86
12 15 71
13 16 79
13 4 83
13 17 79
13 19 82
14 2 69
14 9 83
14 16 13
15 8 29
15 4 18
15 18 77
15 7 7
15 10 84
15 20 32
15 12 71
16 9 28
16 13 79
16 6 89
16 20 37
16 14 13
17 4 27
17 6 48
17 1 58
17 18 70
17 13 79
17 8 89
18 10 41
18 15 77
18 17 70
18 2 64
19 8 1
19 10 36
19 9 88
19 13 82
19 12 86
19 20 69
19 3 51
20 9 73
20 10 53
20 3 80
20 16 37
20 2 32
20 19 69
20 15 32
