1000 5000
1 415 8
1 555 80
1 588 72
1 707 67
1 310 83
1 719 72
1 66 48
1 508 97
2 940 49
2 324 83
2 447 93
2 232 72
2 83 62
2 395 13
2 30 87
3 652 30
4 944 99
4 102 11
4 521 34
4 402 23
4 184 8
5 318 12
5 114 54
5 556 56
5 151 77
5 985 91
5 992 97
6 178 62
6 306 25
7 267 88
7 122 80
7 39 40
7 764 10
8 728 53
8 575 90
8 534 83
9 246 2
9 615 11
9 870 92
9 546 3
10 334 5
10 814 83
10 321 26
10 638 90
10 178 2
10 331 40
11 281 35
11 349 86
11 164 43
11 123 34
12 124 68
12 882 47
12 646 84
12 38 16
12 845 9
12 327 13
12 254 58
13 98 68
13 992 52
13 608 16
13 366 94
14 327 12
14 546 73
14 308 86
14 696 21
14 900 97
14 20 38
15 143 30
15 516 32
15 490 35
16 616 92
16 853 59
16 135 55
16 525 83
17 931 72
17 90 35
17 532 23
17 387 55
17 107 22
18 641 21
18 72 90
18 916 46
19 113 24
19 378 19
19 809 23
19 289 70
19 708 42
20 682 71
20 14 38
21 103 81
21 928 61
21 63 78
21 30 83
21 992 61
21 94 56
22 326 8
22 361 13
22 770 86
23 248 50
23 783 61
23 510 29
23 206 77
23 438 14
24 858 43
24 901 22
24 870 23
25 33 24
25 950 42
25 199 7
25 970 36
25 205 35
25 373 50
25 737 76
25 739 96
26 292 97
26 868 73
26 291 95
26 779 4
26 119 21
27 940 78
27 411 3
27 212 79
27 360 0
28 236 69
28 242 43
28 273 57
28 476 55
28 345 51
29 495 13
29 169 75
29 393 84
30 21 83
30 570 38
30 870 73
30 236 24
30 364 71
30 2 87
30 756 47
31 904 56
31 307 70
31 791 46
31 252 16
32 671 28
32 716 14
32 338 86
32 101 63
32 37 78
32 806 59
32 129 64
33 130 64
33 472 70
33 924 12
33 25 24
33 698 17
33 538 96
33 294 63
34 531 77
34 320 71
34 123 10
35 91 37
35 381 43
35 525 6
35 646 73
35 397 95
36 739 47
36 357 52
36 700 58
36 250 7
36 663 31
36 217 29
36 375 29
36 591 33
37 246 4
37 117 65
37 327 93
37 999 13
37 879 98
37 71 14
37 191 92
37 679 62
37 565 81
37 836 25
37 32 78
38 12 16
38 930 64
38 183 56
38 322 99
39 66 95
39 702 65
39 785 76
39 55 49
39 221 53
39 7 40
39 241 5
39 394 61
40 349 37
40 244 93
40 870 65
40 821 1
41 368 79
41 261 71
41 887 8
41 880 47
41 633 22
42 769 42
42 378 19
42 492 6
42 743 42
42 794 2
42 897 48
42 623 11
42 369 94
43 193 67
43 961 50
43 485 33
43 149 22
43 654 76
43 979 81
44 537 28
45 187 36
45 151 68
45 871 77
45 683 74
46 669 68
46 129 55
46 454 73
47 675 69
47 445 49
47 434 78
48 486 80
48 708 86
49 337 76
49 255 95
49 379 7
50 718 51
50 80 23
50 201 69
50 937 41
50 467 37
51 779 20
51 540 59
51 939 49
51 905 14
51 564 55
51 823 46
51 221 6
52 332 87
52 162 86
52 228 21
52 168 39
53 218 74
53 388 42
53 104 93
53 693 20
54 167 40
54 550 90
54 498 88
54 687 14
54 303 45
55 642 63
55 39 49
55 543 7
56 831 24
56 694 7
56 897 94
57 236 41
57 583 14
57 446 6
57 560 38
57 422 93
57 801 4
57 906 23
57 219 16
57 606 31
57 912 85
58 369 15
58 243 15
58 248 58
59 405 65
59 945 30
59 450 19
60 401 44
60 475 47
60 297 56
60 769 34
60 485 7
61 215 51
61 968 93
61 914 56
61 385 51
61 73 9
62 832 16
62 72 64
62 156 12
62 811 76
63 21 78
63 347 22
63 119 97
64 454 81
64 322 33
64 674 51
64 449 60
64 306 36
65 415 35
65 592 87
65 739 74
65 908 52
65 450 18
65 96 38
65 315 30
65 447 85
65 734 7
65 687 35
66 458 96
66 234 8
66 39 95
66 291 29
66 1 48
66 901 41
67 159 7
67 769 65
67 641 33
67 514 80
67 335 2
67 77 21
67 267 63
68 295 81
68 576 15
68 365 13
68 355 69
69 997 46
69 375 90
69 636 3
70 448 22
70 389 84
70 592 98
70 677 76
70 465 69
71 171 88
71 784 79
71 619 85
71 637 97
71 291 27
71 37 14
72 18 90
72 830 95
72 62 64
73 482 58
73 335 53
73 960 66
73 735 82
73 353 18
73 303 85
