u	v	w
5330	1	8	
2652	2	15	
8604	3	22	
3462	4	15	
8054	5	2	
9209	6	4	
1297	7	15	
4929	8	27	
7807	9	32	
5255	10	23	
4482	11	13	
6463	12	2	
1420	13	13	
8306	14	11	
7699	15	2	
7455	16	19	
3018	17	22	
8150	18	13	
9205	19	29	
9996	20	28	
4523	21	4	
6746	22	11	
422	23	23	
407	24	24	
5824	25	2	
9669	26	11	
128	27	2	
1409	28	3	
4482	29	2	
2362	30	1	
1245	31	2	
1823	32	5	
7240	33	10	
495	34	2	
1736	35	11	
1463	36	18	
2865	37	29	
9184	38	20	
6208	39	14	
7632	40	11	
1287	41	5	
7678	42	10	
1593	43	4	
388	44	12	
8943	45	11	
3414	46	15	
4666	47	23	
2728	48	16	
1176	49	25	
30	50	2	
491	51	1	
7137	52	12	
6294	53	12	
6320	54	21	
4325	55	2	
2332	56	15	
7218	57	3	
5200	58	13	
5723	59	13	
7406	60	8	
2313	61	17	
4237	62	36	
9471	63	3	
2319	64	21	
3194	65	8	
8473	66	1	
8458	67	3	
951	68	19	
2724	69	15	
9390	70	19	
6075	71	6	
934	72	44	
6523	73	16	
4054	74	32	
5177	75	8	
4586	76	5	
8032	77	13	
4799	78	4	
2762	79	10	
5451	80	3	
5298	81	12	
8143	82	8	
3645	83	1	
770	84	11	
6091	85	9	
1990	86	13	
1244	87	21	
6159	88	32	
5817	89	7	
1609	90	12	
313	91	18	
252	92	2	
7736	93	2	
9465	94	2	
3925	95	43	
3196	96	12	
7758	97	3	
118	98	52	
2488	99	25	
7432	100	10	
1455	101	14	
3886	102	8	
5517	103	6	
6136	104	5	
1674	105	14	
9485	106	29	
670	107	9	
4468	108	5	
536	109	24	
7372	110	4	
3330	111	33	
3165	112	15	
6392	113	11	
7109	114	11	
2970	115	10	
1682	116	15	
1809	117	14	
1056	118	26	
3749	119	4	
3811	120	4	
6221	121	12	
6114	122	2	
9032	123	16	
7059	124	8	
4039	125	25	
5008	126	11	
8690	127	6	
4719	128	13	
1010	129	10	
230	130	2	
4666	131	33	
8420	132	47	
553	133	10	
6257	134	2	
2145	135	17	
226	136	32	
8473	137	4	
257	138	7	
4454	139	18	
2667	140	13	
5635	141	10	
2313	142	14	
7013	143	9	
5038	144	2	
1762	145	5	
4776	146	5	
6417	147	3	
1901	148	24	
866	149	11	
2731	150	49	
3822	151	6	
3079	152	6	
2324	153	8	
4765	154	20	
7024	155	20	
725	156	24	
8309	157	15	
1816	158	1	
9320	159	10	
3124	160	1	
463	161	10	
8988	162	9	
4991	163	12	
4431	164	13	
5466	165	21	
5727	166	16	
288	167	12	
6113	168	16	
1956	169	11	
8514	170	29	
8760	171	1	
2605	172	10	
7805	173	21	
219	174	6	
7962	175	7	
8361	176	1	
1228	177	16	
3810	178	10	
4709	179	11	
527	180	10	
651	181	6	
3211	182	25	
6215	183	3	
5191	184	11	
6986	185	15	
2601	186	5	
9312	187	6	
8480	188	11	
5921	189	21	
9098	190	12	
7290	191	14	
8614	192	17	
42	193	4	
4235	194	27	
9769	195	11	
376	196	13	
8160	197	6	
2177	198	8	
4054	199	10	
9101	200	18	
116	201	9	
7135	202	7	
1605	203	7	
3031	204	27	
2396	205	11	
2786	206	18	
792	207	2	
8337	208	12	
8021	209	48	
8371	210	15	
4334	211	10	
8532	212	42	
4619	213	14	
5676	214	1	
8604	215	18	
1833	216	23	
9707	217	17	
6662	218	7	
229	219	31	
9594	220	17	
8661	221	16	
6953	222	19	
8239	223	10	
9000	224	5	
3263	225	10	
2307	226	7	
807	227	12	
6506	228	35	
3175	229	6	
1520	230	3	
7461	231	5	
4176	232	7	
4169	233	1	
6141	234	1	
9073	235	29	
4813	236	18	
2984	237	7	
5701	238	18	
2882	239	17	
4446	240	13	
8459	241	2	
6145	242	32	
3711	243	18	
6226	244	23	
7755	245	5	
799	246	1	
4363	247	18	
5406	248	7	
2288	249	19	
9011	250	11	
4851	251	11	
799	252	2	
3196	253	15	
2633	254	29	
8914	255	1	
9001	256	32	
499	257	2	
5251	258	6	
3363	259	3	
2639	260	2	
5726	261	7	
4198	262	6	
679	263	1	
8891	264	21	
752	265	15	
2057	266	13	
4566	267	15	
9861	268	3	
443	269	41	
1092	270	3	
4904	271	19	
9848	272	1	
8695	273	8	
8201	274	12	
2021	275	13	
4624	276	28	
8386	277	3	
5526	278	9	
2863	279	1	
2689	280	1	
635	281	4	
670	282	14	
6475	283	18	
2336	284	3	
81	285	17	
3218	286	2	
6814	287	22	
9491	288	5	
9777	289	39	
9313	290	2	
3511	291	14	
3170	292	7	
3940	293	15	
8462	294	14	
2572	295	2	
3955	296	9	
2361	297	32	
4176	298	5	
2165	299	9	
3980	300	9	
1788	301	9	
2591	302	11	
7564	303	3	
905	304	4	
7714	305	6	
7178	306	12	
6425	307	12	
6779	308	3	
5921	309	8	
1610	310	14	
4452	311	5	
843	312	18	
7238	313	3	
8810	314	2	
8933	315	7	
3703	316	23	
7017	317	33	
946	318	8	
1681	319	15	
833	320	22	
2176	321	7	
3043	322	22	
9705	323	24	
2376	324	14	
1414	325	10	
996	326	18	
6359	327	6	
4564	328	1	
4153	329	18	
4716	330	35	
5341	331	10	
9842	332	3	
6552	333	8	
4844	334	10	
1520	335	12	
663	336	16	
5371	337	9	
7784	338	4	
5563	339	4	
2993	340	6	
7607	341	11	
4287	342	10	
3803	343	16	
507	344	2	
8913	345	1	
6531	346	36	
2900	347	8	
2540	348	1	
6631	349	2	
6400	350	5	
4251	351	2	
2164	352	10	
9537	353	5	
7326	354	16	
7611	355	14	
5031	356	7	
572	357	4	
7560	358	16	
153	359	16	
4489	360	9	
5270	361	20	
9884	362	4	
8534	363	15	
9124	364	22	
1978	365	28	
1879	366	3	
1479	367	25	
1407	368	33	
3844	369	18	
2396	370	15	
9497	371	3	
3642	372	11	
5175	373	15	
9984	374	8	
8429	375	5	
9335	376	1	
5501	377	13	
3929	378	2	
1463	379	4	
1942	380	15	
100	381	2	
2403	382	15	
4011	383	11	
1803	384	12	
1957	385	11	
1334	386	19	
4069	387	8	
2126	388	1	
7629	389	18	
5676	390	8	
2299	391	13	
2413	392	18	
2147	393	6	
474	394	14	
6514	395	17	
6917	396	12	
9751	397	11	
2830	398	7	
7946	399	5	
5227	400	15	
4683	401	21	
4304	402	29	
1476	403	7	
7536	404	4	
7267	405	9	
2148	406	15	
5296	407	18	
9754	408	1	
5641	409	15	
5275	410	24	
2062	411	3	
7308	412	25	
7101	413	6	
5091	414	18	
6609	415	13	
8054	416	2	
6161	417	7	
5821	418	3	
8401	419	9	
9723	420	9	
6065	421	15	
4477	422	13	
9331	423	16	
5652	424	1	
6291	425	2	
2808	426	2	
7691	427	4	
6243	428	13	
9862	429	29	
9843	430	12	
5344	431	36	
6521	432	9	
9725	433	4	
9254	434	1	
6460	435	3	
6160	436	10	
8211	437	1	
9358	438	11	
4856	439	14	
6634	440	5	
4365	441	2	
1728	442	1	
6223	443	7	
6691	444	5	
2110	445	10	
8863	446	16	
3506	447	12	
7981	448	13	
4347	449	13	
8435	450	7	
2739	451	21	
6036	452	11	
8049	453	17	
5370	454	1	
6932	455	11	
6714	456	10	
