u	v	w
5331	2	8	
2653	3	15	
8605	4	22	
3463	5	15	
8055	6	2	
9210	7	4	
1298	8	15	
4930	9	27	
7808	10	32	
5256	11	23	
4483	12	13	
6464	13	2	
1421	14	13	
8307	15	11	
7700	16	2	
7456	17	19	
3019	18	22	
8151	19	13	
9206	20	29	
9997	21	28	
4524	22	4	
6747	23	11	
423	24	23	
408	25	24	
5825	26	2	
9670	27	11	
129	28	2	
1410	29	3	
4483	30	2	
2363	31	1	
1246	32	2	
1824	33	5	
7241	34	10	
496	35	2	
1737	36	11	
1464	37	18	
2866	38	29	
9185	39	20	
6209	40	14	
7633	41	11	
1288	42	5	
7679	43	10	
1594	44	4	
389	45	12	
8944	46	11	
3415	47	15	
4667	48	23	
2729	49	16	
1177	50	25	
31	51	2	
492	52	1	
7138	53	12	
6295	54	12	
6321	55	21	
4326	56	2	
2333	57	15	
6969	58	1	
5201	59	13	
5724	60	13	
7407	61	8	
2314	62	17	
4238	63	36	
9472	64	3	
2320	65	21	
3195	66	8	
8474	67	1	
8459	68	3	
952	69	19	
2725	70	15	
9391	71	19	
6076	72	6	
935	73	44	
6524	74	16	
4055	75	32	
5178	76	8	
4587	77	5	
8033	78	13	
4800	79	4	
2763	80	10	
5452	81	3	
5299	82	12	
8144	83	8	
3646	84	1	
771	85	11	
6092	86	9	
1991	87	13	
1245	88	21	
6160	89	32	
5818	90	7	
1610	91	12	
314	92	18	
253	93	2	
7737	94	2	
9466	95	2	
3926	96	43	
3197	97	12	
7759	98	3	
119	99	52	
2489	100	25	
7433	101	10	
1456	102	14	
3887	103	8	
5518	104	6	
6137	105	5	
1675	106	14	
9486	107	29	
671	108	9	
4469	109	5	
537	110	24	
7373	111	4	
3331	112	33	
3166	113	15	
6393	114	11	
8161	115	4	
2971	116	10	
1683	117	15	
1810	118	14	
1057	119	26	
3750	120	4	
3812	121	4	
6222	122	12	
6115	123	2	
9033	124	16	
7060	125	8	
4040	126	25	
5009	127	11	
8691	128	6	
4720	129	13	
1011	130	10	
231	131	2	
4667	132	33	
8421	133	47	
554	134	10	
6258	135	2	
2146	136	17	
227	137	32	
